,Pair,Count_overall,Count_clm,Count_plm,Freq_overall,Freq_clm,Freq_plm,BR_clm,BR_plm,pvalue_clm_raw,pvalue_clm_corrected,significant_clm,pvalue_plm_raw,pvalue_plm_corrected,significant_plm
105,"('Y', 'H')",643,32,42,0.004681470695303968,0.003600765162597052,0.0036407766990291263,0.769152558448997,0.7776993462078545,0.27608346346479024,0.4141251951971854,False,0.27829383344390946,0.34499235550897867,False
106,"('K', 'N')",756,53,62,0.005504186385147433,0.005963767300551367,0.005374479889042996,1.0834966120776854,0.976434937513301,0.31825237095238745,0.4420171818783159,False,0.6926115616308208,0.7368208102455541,False
107,"('T', 'M')",2225,596,76,0.016199490353112488,0.06706425115337009,0.006588072122052704,4.13989882962489,0.4066839127927815,0.0,0.0,True,1.7611913808886934e-14,8.805956904443467e-14,True
108,"('I', 'T')",1504,104,95,0.010950127411721878,0.011702486778440418,0.00823509015256588,1.0687078184965368,0.7520542768982206,0.19181030623154385,0.31617083444759975,False,0.04080367774790898,0.05878277758795779,False
109,"('T', 'I')",1632,68,65,0.011882053148889698,0.007651625970518735,0.005634535367545076,0.6439649675556056,0.4742055347624487,0.0013712061332778584,0.004471324347645191,True,1.3589714338487747e-08,3.913879771077559e-08,True
110,"('H', 'Y')",837,35,37,0.0060939206406989445,0.0039383368965905255,0.0032073509015256587,0.6462730857188873,0.5263197686075857,0.02568382878729534,0.05837233815294395,False,0.0003882425986437836,0.0007189677752662658,True
111,"('L', 'F')",1292,68,48,0.009406625409537678,0.007651625970518735,0.004160887656033287,0.8134294327018176,0.44233585104966866,0.2397538292839439,0.3735145083876934,False,6.806320398327469e-08,1.760255275429518e-07,True
112,"('E', 'A')",354,28,69,0.0025773571168547504,0.0031506695172724202,0.00598127600554785,1.2224419723089461,2.320701297632761,0.1827023931335645,0.3079253816857829,False,3.075484850161849e-16,1.774318182785682e-15,True
113,"('E', 'K')",2737,187,155,0.019927193301783764,0.02104197141892652,0.013436199722607489,1.055942555494906,0.674264534855732,0.10721301550154791,0.19854262129916278,False,4.2019937355419783e-05,8.293408688569694e-05,True
114,"('F', 'Y')",105,4,1,0.0007644703312704769,0.0004500956453246315,8.668515950069348e-05,0.5887679703365536,0.11339244435638332,0.44208390661364616,0.5667742392482643,False,0.015392732421128796,0.023322321850195143,False
115,"('I', 'F')",300,25,20,0.002184200946487077,0.002813097783278947,0.0017337031900138697,1.2879299351112112,0.7937471104946833,0.12963074797608773,0.23148347852872805,False,0.5525543293481467,0.618530965688224,False
116,"('C', 'G')",350,21,53,0.0025482344375682563,0.0023630021379543154,0.004594313453536754,0.927309553280072,1.8029398652664947,1.0,1.0,False,3.8204848597021506e-07,8.954261389926915e-07,True
